item_category_name,item_category_name_en,item_category_id
PC - Гарнитуры/Наушники,PC - Headset / Headphones,0
Аксессуары - PS2,Accessories - PS2.,1
Аксессуары - PS3,Accessories - PS3.,2
Аксессуары - PS4,Accessories - PS4.,3
Аксессуары - PSP,Accessories - PSP.,4
Аксессуары - PSVita,Accessories - Psvita.,5
Аксессуары - XBOX 360,Accessories - Xbox 360,6
Аксессуары - XBOX ONE,Accessories - Xbox One,7
Билеты (Цифра),Tickets (digit),8
Доставка товара,Delivery of goods,9
Игровые консоли - PS2,Gaming Consoles - PS2,10
Игровые консоли - PS3,Gaming Consoles - PS3,11
Игровые консоли - PS4,Gaming Consoles - PS4,12
Игровые консоли - PSP,Gaming Consoles - PSP,13
Игровые консоли - PSVita,Gaming Consoles - Psvita,14
Игровые консоли - XBOX 360,Gaming Consoles - Xbox 360,15
Игровые консоли - XBOX ONE,Gaming Consoles - Xbox One,16
Игровые консоли - Прочие,Gaming consoles - Other,17
Игры - PS2,Games - PS2.,18
Игры - PS3,Games - PS3,19
Игры - PS4,Games - PS4,20
Игры - PSP,Games - PSP.,21
Игры - PSVita,Games - psvita.,22
Игры - XBOX 360,Games - Xbox 360,23
Игры - XBOX ONE,Games - Xbox One,24
Игры - Аксессуары для игр,Games - Accessories for games,25
Игры Android - Цифра,Android games - digit,26
Игры MAC - Цифра,MAC games - digit,27
Игры PC - Дополнительные издания,PC Games - Additional Editions,28
Игры PC - Коллекционные издания,PC Games - Collectible Editions,29
Игры PC - Стандартные издания,PC Games - Standard Editions,30
Игры PC - Цифра,PC games - digit,31
"Карты оплаты (Кино, Музыка, Игры)","Payment cards (cinema, music, games)",32
Карты оплаты - Live!,Payment cards - Live!,33
Карты оплаты - Live! (Цифра),Payment cards - Live! (Number),34
Карты оплаты - PSN,Payment cards - PSN,35
Карты оплаты - Windows (Цифра),Payment maps - Windows (digit),36
Кино - Blu-Ray,Cinema - Blu-ray,37
Кино - Blu-Ray 3D,Cinema - Blu-ray 3D,38
Кино - Blu-Ray 4K,Cinema - Blu-Ray 4K,39
Кино - DVD,Cinema - DVD.,40
Кино - Коллекционное,Cinema - collectivity,41
"Книги - Артбуки, энциклопедии","Books - Artbooks, Encyclopedia",42
Книги - Аудиокниги,Books - audiobooks,43
Книги - Аудиокниги (Цифра),Books - Audiobooks (Figure),44
Книги - Аудиокниги 1С,Books - Audiobooks 1C,45
Книги - Бизнес литература,Books - Business Literature,46
"Книги - Комиксы, манга","Books - Comics, Manga",47
Книги - Компьютерная литература,Books - Computer Literature,48
Книги - Методические материалы 1С,Books - Methodological materials 1C,49
Книги - Открытки,Books - postcards,50
Книги - Познавательная литература,Books - Cognitive Literature,51
Книги - Путеводители,Books - guidebooks,52
Книги - Художественная литература,Books - Fiction,53
Книги - Цифра,Books - digit,54
Музыка - CD локального производства,Music - Local CD CD,55
Музыка - CD фирменного производства,Music - corporate production CD,56
Музыка - MP3,Music - mp3,57
Музыка - Винил,Music - Vinyl,58
Музыка - Музыкальное видео,Music - Music Video,59
Музыка - Подарочные издания,Music - Gift Editions,60
Подарки - Атрибутика,Gifts - attributes,61
"Подарки - Гаджеты, роботы, спорт","Gifts - Gadgets, Robots, Sports",62
Подарки - Мягкие игрушки,Gifts - Soft Toys,63
Подарки - Настольные игры,Gifts - Board Games,64
Подарки - Настольные игры (компактные),Gifts - Board Games (Compact),65
"Подарки - Открытки, наклейки","Gifts - Postcards, Stickers",66
Подарки - Развитие,Gifts - development,67
"Подарки - Сертификаты, услуги","Gifts - Certificates, Services",68
Подарки - Сувениры,Gifts - Souvenirs,69
Подарки - Сувениры (в навеску),Gifts - Souvenirs (in the hitch),70
"Подарки - Сумки, Альбомы, Коврики д/мыши","Gifts - Bags, Albums, Rugs D / Mouse",71
Подарки - Фигурки,Gifts - Figures,72
Программы - 1С:Предприятие 8,Programs - 1C: Enterprise 8,73
Программы - MAC (Цифра),Programs - Mac (digit),74
Программы - Для дома и офиса,Programs - for home and office,75
Программы - Для дома и офиса (Цифра),Programs - for home and office (digit),76
Программы - Обучающие,Programs - Educational,77
Программы - Обучающие (Цифра),Programs - training (digit),78
Служебные,Service,79
Служебные - Билеты,Service - Tickets,80
Чистые носители (шпиль),Clean media (spire),81
Чистые носители (штучные),Clean media (piece),82
Элементы питания,Power elements,83
