item_name,item_name_en,item_id,item_category_id
! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,Lucky In the power of the puffy (reservoir.) D,0,40
"!ABBYY FineReader 12 Professional Edition Full [PC, Цифровая версия]","! ABBYY FineReader 12 Professional Edition Full [PC, digital version]",1,76
***В ЛУЧАХ СЛАВЫ   (UNV)                    D,*** In the rays of glory (UNV) D,2,40
***ГОЛУБАЯ ВОЛНА  (Univ)                      D,*** Blue Wave (Univ) D,3,40
***КОРОБКА (СТЕКЛО)                       D,*** Box (Glass) D,4,40
***НОВЫЕ АМЕРИКАНСКИЕ ГРАФФИТИ  (UNI)             D,*** New American Graffiti (UNI) D,5,40
***УДАР ПО ВОРОТАМ (UNI)               D,*** Punch on goal (UNI) D,6,40
***УДАР ПО ВОРОТАМ-2 (UNI)               D,*** Punch on the gate-2 (UNI) D,7,40
***ЧАЙ С МУССОЛИНИ                     D,*** Tea with Mussolini D,8,40
***ШУГАРЛЭНДСКИЙ ЭКСПРЕСС (UNI)             D,*** Shugarland Express (UNI) D,9,40
*ЗА ГРАНЬЮ СМЕРТИ                       D,* Beyond the death of D,10,40
*ЛИНИЯ СМЕРТИ                           D,* Deathline D,11,40
*МИХЕЙ И ДЖУМАНДЖИ  Сука любовь,* Micah and Jumanji bitch love,12,55
*СПАСАЯ ЭМИЛИ                           D,* Saving Emily D,13,40
*ЧОКНУТЫЙ ПРОФЕССОР /МАГИЯ/             D,* Nutty Professor / Magic / D,14,40
//АДРЕНАЛИН: ОДИН ПРОТИВ ВСЕХ (Регион),// Adrenaline: one against everyone (region),15,40
//МОНГОЛ С.Бодров (Регион),// Mongol S. Bodrov (region),16,40
//НЕ ОСТАВЛЯЮЩИЙ СЛЕДА (Регион),// No leaving track (region),17,40
/БОМБА ДЛЯ НЕВЕСТЫ /2DVD/               D,/ Bomb for the Bride / 2DVD / D,18,40
/ЗОЛОТАЯ КОЛЛЕКЦИЯ м/ф-72,/ Gold Collection M / F-72,19,40
/ОДНАЖДЫ В КИТАЕ-2,/ Once in China-2,20,40
/ПОСЛЕДНИЙ ШАНС,/LAST CHANCE,21,40
/ПРОКЛЯТЬЕ ЭЛЬ ЧАРРО,/ Curse El Charro,22,40
/СЕВЕР И ЮГ /Ч.2/,/ North and south / ch.2/,23,40
/СМЕРТЕЛЬНЫЙ РАСКЛАД,/ Deadly layout,24,40
/ТЫ  - ТРУП,/YOU ARE DEAD,25,40
/УМНОЖАЮЩИЙ ПЕЧАЛЬ т.2 (сер.3-4),/ Multiply sadness T.2 (Ser.3-4),26,40
"007 Legends [PS3, русская версия]","007 LEGENDS [PS3, Russian version]",27,19
"007 Legends [PС, Jewel, русская версия]","007 Legends [PC, Jewel, Russian version]",28,30
"007 Legends [Xbox 360, русская версия]","007 Legends [Xbox 360, Russian version]",29,23
007: КООРДИНАТЫ «СКАЙФОЛЛ»,007: Skyfall coordinates,30,40
007: КООРДИНАТЫ «СКАЙФОЛЛ» (BD),007: Skyfall coordinates (BD),31,37
1+1,1 + 1.,32,40
1+1 (BD),1 + 1 (BD),33,37
10 000 ЛЕТ ДО НАШЕЙ ЭРЫ WB (регион),"10,000 years before our era WB (region)",34,40
10 ЛЕТ СПУСТЯ,10 YEARS LATER,35,40
10 ЛЕТ СПУСТЯ (BD),10 years later (BD),36,37
10 ЛЕТ СПУСТЯ (регион),10 years later (region),37,40
10 САМЫХ ПОПУЛЯРНЫХ КИНОКОМЕДИЙ ХХ ВЕКА  10DVD (rem),10 Most Popular Cointers XX Century 10DVD (REM),38,41
10 САМЫХ ПОПУЛЯРНЫХ ОТЕЧЕСТВЕННЫХ КОМЕДИЙ ХХ ВЕКА (BD),10 most popular domestic comedies of the twentieth century (BD),39,41
100 Best classical melodies (mp3-CD) (Digipack),100 Best Classical Melodies (MP3 CD) (Digipack),40,57
100 Best relax melodies (mp3-CD) (CD-Digipack),100 BEST RELAX MELODIES (MP3 CD) (CD-Digipack),41,57
100 Best romantic melodies (mp3-CD) (Digipack),100 Best Romantic Melodies (MP3 CD) (Digipack),42,57
100 МИЛЛИОНОВ ЕВРО,100 million euros,43,40
100 лучших мелодий против стресса (mp3-CD) (CD-Digipack),100 best tunes against stress (MP3-CD) (CD-Digipack),44,57
100 лучших народных песен (mp3-CD) (CD-Digipack),100 best folk songs (MP3-CD) (CD-Digipack),45,57
100 лучших произведений Баха (mp3-CD) (Digipack),100 best works of Bach (MP3-CD) (Digipack),46,57
100 лучших произведений Бетховена (mp3-CD) (Digipack),100 best works of Beethoven (MP3 CD) (Digipack),47,57
100 лучших произведений Вивальди (mp3-CD) (CD-Digipack),100 of the best works of Vivaldi (MP3-CD) (CD-Digipack),48,57
100 лучших произведений Моцарта (mp3-CD) (Digipack),100 best works of Mozart (MP3-CD) (Digipack),49,57
100 лучших произведений Рахманинова (mp3-CD) (Jewel),100 best works Rachmaninov (MP3-CD) (Jewel),50,57
100 лучших произведений классики (mp3-CD) (Digipack),100 best works of classics (MP3-CD) (Digipack),51,57
100 лучших произведений фортепианной музыки (mp3-CD) (CD-Digipack),100 best works of piano music (MP3-CD) (CD-Digipack),52,57
100 лучших русских романсов (mp3-CD) (CD-Digipack),100 best Russian romances (mp3-CD) (CD-Digipack),53,57
100 лучших цыганских романсов (mp3-CD) (CD-Digipack),100 best gypsy romances (mp3-CD) (CD-Digipack),54,57
100 любимых маленьких сказок (mp3-CD) (Jewel),100 favorite little fairy tales (mp3-CD) (Jewel),55,43
100 любимых песен. Александра Пахмутова (подар. уп.) (mp3-CD) (Jewel),100 favorite songs. Alexandra Pakhmutova (IP. UE.) (MP3-CD) (Jewel),56,57
100 пудов из мультхитов (подар. уп.) (mp3-CD) (Jewel),100 Puddles from the Aultihites (Rev. UE.) (MP3-CD) (Jewel),57,57
"100 чудес России [PC, Цифровая версия]","100 wonders of Russia [PC, digital version]",58,78
100 шедевров классики (mp3-CD) (Digipack),100 masterpieces of classics (MP3-CD) (Digipack),59,57
1000 английских фраз на все случаи жизни (mp3-CD) (Jewel),1000 English phrases for all lifestyles (MP3-CD) (Jewel),60,43
1000 и одна ночь  2CD (mp3-DVD) (DVD-Book),1000 and one night 2cd (MP3-DVD) (DVD-Book),61,43
10000 ЛЕТ ДО Н.Э. WB (BD),"10,000 years BC WB (BD)",62,37
101 ДАЛМАТИНЕЦ  wd,101 Dalmatian WD.,63,40
101 ДАЛМАТИНЕЦ 2 м/ф (регион),101 Dalmatian 2 m / f (region),64,40
101 ДАЛМАТИНЕЦ 2:ПРИКЛЮЧЕНИЯ ПАТЧА В ЛОНДОНЕ (BD),101 Dalmatian 2: Patch Adventures in London (BD),65,37
101 ДАЛМАТИНЕЦ М/Ф (BD),101 Dalmatian M / F (BD),66,37
101 ДАЛМАТИНЕЦ м/ф (регион),101 Dalmatian m / f (region),67,40
"101 Далматинец. Интерактивная сказка [PC-CD, Jewel]","101 Dalmatian. Interactive fairy tale [PC-CD, Jewel]",68,30
"101 совет начинающим разработчикам в системе ""1С:Предприятие 8""  [Цифровая версия]","101 Board of novice developers in the system ""1C: Enterprise 8"" [digital version]",69,54
"101 совет начинающим разработчикам в системе ""1С:Предприятие 8"". Хрусталева Е.Ю.","101 Board of novice developers in the system ""1C: Enterprise 8"". Khrustaleva E.Yu.",70,49
11 ДРУЗЕЙ ОУШЕНА WB (BD),11 friends WB (BD),71,37
11 ДРУЗЕЙ ОУШЕНА WB (регион),11 friends Ocean WB (region),72,40
11-11-11 (регион),11-11-11 (region),73,40
12 ДРУЗЕЙ ОУШЕНА WB (BD),12 friends WB (BD),74,37
12 ДРУЗЕЙ ОУШЕНА WB (регион),12 friends Ocean WB (region),75,40
12 ЛЕТ РАБСТВА (BD),12 years of slavery (BD),76,37
12 ЛЕТ РАБСТВА (регион),12 years of slavery (region),77,40
12 МЕСЯЦЕВ,12 MONTHS,78,40
12 МЕСЯЦЕВ. НОВАЯ СКАЗКА,12 MONTHS. New fairy tale,79,40
12 РАУНДОВ (BD),12 Rounds (BD),80,37
12 РОЖДЕСТВЕНСКИХ ЖЕЛАНИЙ,12 christmas desires,81,40
12/ДВЕНАДЦАТЬ (BD),12 / Twelve (BD),82,37
12/ДВЕНАДЦАТЬ (СР) (Регион),12 / Twelve (CP) (region),83,40
127 ЧАСОВ,127 hours,84,40
127 ЧАСОВ (BD+DVD),127 hours (BD + DVD),85,37
127 ЧАСОВ (регион),127 hours (region),86,40
13 ДРУЗЕЙ ОУШЕНА WB (BD),13 Friends Osushen WB (BD),87,37
13 ДРУЗЕЙ ОУШЕНА WB (регион),13 Friends Ocean WB (region),88,40
13-Й ВОИН wd,13th WD Warrior,89,40
13-Й РАЙОН: Кирпичные особняки,13th District: Brick Mansions,90,40
13-Й РАЙОН: Кирпичные особняки (BD),13th District: Brick Mansions (BD),91,37
13-Й РАЙОН: УЛЬТИМАТУМ (BD),13th District: Ultimatum (BD),92,37
15 знаменитых сказок  Детям от 0 до 3 лет (mp3-CD) (Jewel),15 famous fairy tales for children from 0 to 3 years old (MP3-CD) (Jewel),93,43
16 ЖЕЛАНИЙ,16 desires,94,40
1812. ЭНЦИКЛОПЕДИЯ ВЕЛИКОЙ ВОЙНЫ,1812. Encyclopedia of the Great War,95,40
1812. ЭНЦИКЛОПЕДИЯ ВОЙНЫ (регион),1812. Encyclopedia of War (region),96,40
1812: 4 СЕРИИ (регион),1812: 4 series (region),97,40
1812: УЛАНСКАЯ БАЛЛАДА,1812: Ulan Ballad,98,40
1812: УЛАНСКАЯ БАЛЛАДА (BD),1812: Ulan Ballad (BD),99,37
1812: УЛАНСКАЯ БАЛЛАДА (регион),1812: Ulan Ballad (region),100,40
"1C:Школа. Физика, 9кл. [PC, Цифровая версия]","1C: School. Physics, 9kl. [PC, digital version]",101,78
"1С-Битрикс: Управление сайтом - Малый бизнес [PC, Цифровая версия]","1C-Bitrix: Site Management - Small Business [PC, Digital Version]",102,76
"1С-Битрикс: Управление сайтом - Стандарт [PC, Цифровая версия]","1C-Bitrix: Site Management - Standard [PC, Digital Version]",103,76
"1С-Битрикс: Управление сайтом - Старт (Bitrix) [PC, Цифровая версия]","1C-Bitrix: Site Management - Start (Bitrix) [PC, Digital Version]",104,76
"1С:Snowball ORIGINALS ""Europa Universalis III. In Nomine""","1C: Snowball Originals ""Europa Universalis III. In Nomine""",105,30
"1С:Snowball ИГРУШКИ ""День Победы II. Новая война""","1C: Snowball toys ""Victory Day II. New War""",106,30
1С:Аудио. В гармонии с природой. Музыка для спокойного вождения автомобиля [Цифровая версия],1C: Audio. In harmony with nature. Music for the calm driving of the car [digital version],107,44
1С:Аудио. В гармонии с природой. Отдых в лесу [Цифровая версия],1C: Audio. In harmony with nature. Holidays in the forest [digital version],108,44
1С:Аудио. Музыка восстановления равновесия души и тела (Jewel),1C: Audio. Music Restoration Soul and Body Equilience (Jewel),109,57
