shop_name,shop_name_en,shop_id
"!Якутск Орджоникидзе, 56 фран","! Yakutsk Ordzhonikidze, 56 fran",0
"!Якутск ТЦ ""Центральный"" фран","! Yakutsk shopping center ""Central"" Fran",1
"Адыгея ТЦ ""Мега""","Adygea shopping center ""Mega""",2
"Балашиха ТРК ""Октябрь-Киномир""","Balashiha TRK ""October-Kinomir""",3
"Волжский ТЦ ""Волга Молл""","Volzhsky shopping center ""Volga Mall""",4
"Вологда ТРЦ ""Мармелад""","Vologda TRC ""Marmalad""",5
"Воронеж (Плехановская, 13)","Voronezh (Plekhanovskaya, 13)",6
"Воронеж ТРЦ ""Максимир""","Voronezh TRC ""MAXIMIM""",7
"Воронеж ТРЦ Сити-Парк ""Град""","Voronezh TRC City Park ""Grad""",8
Выездная Торговля,Exit trade,9
Жуковский ул. Чкалова 39м?,Zhukovsky st. Chkalova 39m?,10
Жуковский ул. Чкалова 39м²,Zhukovsky st. Chkalova 39m²,11
Интернет-магазин ЧС,Online store emergency,12
"Казань ТЦ ""Бехетле""","Kazan shopping center ""Behetle""",13
"Казань ТЦ ""ПаркХаус"" II","Kazan shopping center ""Parkhouse"" II",14
"Калуга ТРЦ ""XXI век""","Kaluga TPC ""XXI Century""",15
"Коломна ТЦ ""Рио""","Kolomna TC ""Rio""",16
"Красноярск ТЦ ""Взлетка Плаза""","Krasnoyarsk shopping center ""Plaza Upbet""",17
"Красноярск ТЦ ""Июнь""","Krasnoyarsk TC ""June""",18
"Курск ТЦ ""Пушкинский""","Kursk shopping center ""Pushkinsky""",19
"Москва ""Распродажа""","Moscow ""Sale""",20
"Москва МТРЦ ""Афи Молл""","Moscow MTRC ""AFI MALL""",21
Москва Магазин С21,Moscow Store C21.,22
"Москва ТК ""Буденовский"" (пав.А2)","Moscow TK ""Budenovsky"" (Pav.A2)",23
"Москва ТК ""Буденовский"" (пав.К7)","Moscow TK ""Budenovsky"" (Pav.K7)",24
"Москва ТРК ""Атриум""","Moscow TRK ""Atrium""",25
"Москва ТЦ ""Ареал"" (Беляево)","Moscow TC ""Area"" (Belyaevo)",26
"Москва ТЦ ""МЕГА Белая Дача II""","Moscow TC ""Mega White Dacha II""",27
"Москва ТЦ ""МЕГА Теплый Стан"" II","Moscow TC ""Mega Teply Stan"" II",28
"Москва ТЦ ""Новый век"" (Новокосино)","Moscow shopping center ""New Century"" (Novokosino)",29
"Москва ТЦ ""Перловский""","Moscow TC ""Perlovsky""",30
"Москва ТЦ ""Семеновский""","Moscow TC ""Semenovsky""",31
"Москва ТЦ ""Серебряный Дом""","Moscow shopping center ""Silver House""",32
"Мытищи ТРК ""XL-3""","Mytishchi TRK ""XL-3""",33
"Н.Новгород ТРЦ ""РИО""","N.Novgorod TK ""Rio""",34
"Н.Новгород ТРЦ ""Фантастика""","N.Novgorod TPC ""Fantasy""",35
"Новосибирск ТРЦ ""Галерея Новосибирск""","Novosibirsk shopping center ""Gallery Novosibirsk""",36
"Новосибирск ТЦ ""Мега""","Novosibirsk shopping center ""Mega""",37
"Омск ТЦ ""Мега""","Omsk shopping center ""mega""",38
"РостовНаДону ТРК ""Мегацентр Горизонт""","Rostovnadon TRK ""Megcenter Horizon""",39
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной","Rostovnadon TRK ""Megcenter Horizon"" island",40
"РостовНаДону ТЦ ""Мега""","Rostovnadon shopping center ""Mega""",41
"СПб ТК ""Невский Центр""","SPB TK ""Nevsky Center""",42
"СПб ТК ""Сенная""","SPb TK ""SENS""",43
"Самара ТЦ ""Мелодия""","Samara shopping center ""Melody""",44
"Самара ТЦ ""ПаркХаус""","Samara shopping center ""Parkhouse""",45
"Сергиев Посад ТЦ ""7Я""","Sergiev Posad shopping center ""7th""",46
"Сургут ТРЦ ""Сити Молл""","Surgut TRC ""City Mall""",47
"Томск ТРЦ ""Изумрудный Город""","Tomsk TRC ""Emerald City""",48
"Тюмень ТРЦ ""Кристалл""","Tyumen shopping center ""Crystal""",49
"Тюмень ТЦ ""Гудвин""","Tyumen shopping center ""Goodwin""",50
"Тюмень ТЦ ""Зеленый Берег""","Tyumen shopping center ""Green Beach""",51
"Уфа ТК ""Центральный""","Ufa TC ""Central""",52
"Уфа ТЦ ""Семья"" 2","Ufa TC ""Family"" 2",53
"Химки ТЦ ""Мега""","Khimki shopping center ""Mega""",54
Цифровой склад 1С-Онлайн,1c-online digital warehouse,55
"Чехов ТРЦ ""Карнавал""","Chekhov shopping center ""Carnival""",56
"Якутск Орджоникидзе, 56","Yakutsk Ordzhonikidze, 56",57
"Якутск ТЦ ""Центральный""","Yakutsk shopping center ""Central""",58
"Ярославль ТЦ ""Альтаир""","Yaroslavl shopping center ""Altair""",59
